제목,언론사,날짜,링크,요약
"서울 골목경기, 두 달 만에 반등…소득은 1만원 감소",이데일리,2026-07-28,https://www.edaily.co.kr/news/newspath.asp?newsid=02089366645519112,6월 체감지수 93.1점...매출 소폭 증가 경쟁 심화·원재료비 상승으로 경영 애로 [이데일리 이영민 기자] 두 달 연속 내리막을 걷던 서울 소상공인의 체감경기가 6월 들어 반등했다. 매출도 소폭 늘었지만 소득은 줄어서 골목경기 회복이 소상공인의 실질적인 살림살이 개선으로 이어지기까지 시간이 더 필요하다는 분석이 나온다. 6월 서울 골목경기 체감지수(사진=...
사람은 많은데 가게는 왜 문을 닫을까?,한국경제,2026-07-24,https://www.hankyung.com/article/202607232734O,"밸류업 인사이트 잠실·송파 공실률 17.4%가 보여준 골목상권 밸류업의 조건 (AI 생성 이미지) 롯데월드타워와 석촌호수 주변은 여전히 붐빈다. 주말이면 가족과 연인, 외국인 관광객으로 거리가 가득 찬다. 그런데 바로 인접한 송리단길에서는 문을 닫는 점포와 임대 안내문이 늘고 있다. 한국경제신문은 지난 22일자 「송리단길의 ‘눈물’…매출 급감에 줄폐업」 기..."
서울 상권 지각변동…익선동·을지로 뜬다,파이낸셜뉴스,2026-07-23,http://www.fnnews.com/news/202607231821330810,5년간 문 연 외식매장만 200곳 전통 식당가 강남·여의도는 정체 2030세대의 '핫플레이스'로 떠오른 서울 종로구 익선동과 중구 을지로 신흥 상권에만 최근 5년간 200개에 달하는 신규 외식매장이 들어선 것으로 나타났다. 반면 강남·여의도 등 서울의 전통적 외식상권의 성장은 정체되면서 서울 상권의 '지각변동'이 가속화되고 있다. 23일 본지가 서울시 상권...
신상진 “청년 창업자가 모란 도담길 변화 주인공…성남 명소로 만들겠다”,아시아경제,2026-07-23,https://view.asiae.co.kr/article/2026072315304785843,"성남시, 신상진 시장 청년창업 정책 시동 사업화 자금 최대 3000만원·컨설팅 지원 청년 창업 39명 지원…특화거리 조성 본격화 성남 모란 도담길 ‘제2의 성수동’ 만든다 경기 성남시(시장 신상진)가 중원구 모란 도담길을 청년 창업 특화거리로 조성하기 위한 본격적인 지원에 나섰다. 신상진 성남시장이 23일 시청 2층 모란관에서 소규모 점포 청년창업 지원사업..."
'BTS 부산 뜨자 상권 날았다' 공연날 소상공인 매출 11%↑,파이낸셜뉴스,2026-07-22,http://www.fnnews.com/news/202607221345263864,중기부 분석…외국인 매출 71.7% 뛰어 그룹 방탄소년단(BTS)이 지난달 부산시 연제구 아시아드주경기장에서 'BTS 월드투어 아리랑 인 부산' 공연을 하고 있다. 빅히트 뮤직(하이브) 제공 [파이낸셜뉴스] 방탄소년단(BTS)의 부산 콘서트가 열린 지난달 12∼13일 부산 지역 소상공인 매출이 전년 동기 대비 11.1% 증가한 것으로 나타났다. 22일 중소...
"'300억대 요양원 투자 사기' 카페베네 창업주, 징역 3년",매일경제,2026-07-22,http://mbn.mk.co.kr/pages/news/newsView.php?category=mbn00009&news_seq_no=5207433,"회삿돈 빼돌려 부동산 및 주식 투자도 ""피해자 합의할 기회줘야"" 법정구속은 안해 서울중앙지법 / 사진=MBN 요양원 사업을 추진하겠다며 건축주들로부터 많게는 수십억원의 투자금을 받아 가로챈 혐의로 재판에 넘겨진 카페베네 창업주가 1심에서 실형을 선고받았습니다. 서울중앙지법 형사합의29부(재판장 엄기표 부장판사)는 오늘(22일) 특정경제범죄 가중처벌 등에 관..."
"카페베네 창업자, 요양원 사업 사기 혐의로 징역 3년 선고",파이낸셜뉴스,2026-07-22,http://www.fnnews.com/news/202607221239186114,"재판부 ""책임 회피"" 질타 사진=연합뉴스 [파이낸셜뉴스] 국내 1세대 카페인 카페베네 창업자 김선권 전 대표가 요양원 건설과 관련된 사기 등 혐의로 징역형을 선고받았다. 서울중앙지법 형사합의29부(엄기표 부장판사)는 22일 특가법상 횡령과 배임, 사기 등의 혐의를 받고 있는 김 전 대표에게 징역 3년을 선고했다. 다만 재판부는 피해자들에 대한 피해회복과 합..."
BTS 공연에 부산 상권 활기…소상공인 매출 3.6% 증가,조선비즈,2026-07-22,https://biz.chosun.com/industry/business-venture/2026/07/22/IMIK7NYE3JE2VHW6GLQIK6KLQM/?utm_source=naver&utm_medium=original&utm_campaign=biz,"그룹 방탄소년단(BTS) 제이홉(왼쪽부터)과 진, 뷔, RM, 슈가, 정국, 지민이 6월 13일 오후 부산시 연제구 아시아드주경기장에서 열린 'BTS 월드투어 아리랑 인 부산' 콘서트에서 글로벌 아미들과 소통하고 있다./하이브 제공 방탄소년단(BTS)의 부산 월드투어 공연 기간 소상공인 매출이 전년 동기 대비 3.6% 증가한 것으로 나타났다. 외국인 소비도..."
송리단길의 '눈물'…매출 급감에 줄폐업,한국경제,2026-07-22,https://www.hankyung.com/article/2026072176621,한때 '핫플'이었는데…쇠퇴하는 석촌호수 골목상권 치솟는 공실률…올 17.4% 달해 명동·성수·홍대보다 3~5배 높아 맛집·카페 다수…차별화 한계 외국인 관광객 붙잡기 어려워 송리단길을 포함한 서울 송파와 잠실 일대 상권의 올해 1분기 공실률이 17.4%로 작년 말 대비 4.9%포인트 상승했다. 21일 송리단길 일대가 한산한 모습이다.   김범준 기자 비가 ...
"“대출 6억·월급도 없어”…윤남노, 스타 셰프도 힘겨운 자영업 고백",매일경제,2026-07-16,https://www.mk.co.kr/article/12100195,"윤남노. 사진|스타투데이 DB 스타 셰프 윤남노가 레스토랑을 운영하며 마주한 자영업의 현실을 솔직하게 털어놨다. 지난 13일 유튜브 채널 ‘침착맨’에는 “윤남노를 부탁해 (with 김풍, 키드밀리)”라는 제목의 영상이 공개됐다. 윤남노는 최근 서울 강남구 압구정에 레스토랑을 열었다. 침착맨과 김풍, 키드밀리는 식당을 찾아 코스 요리를 맛보며 이야기를 나눴다..."
"식당 들어갔더니 직원이 없어…덩그러니 놓인 키오스크 3대, 무슨 일?",서울경제,2026-07-15,https://www.sedaily.com/article/20068034?ref=naver,"키오스크, 연합뉴스 내년 1월부터 최저시급이 1만 700원으로 오른다. 하루 8시간, 주 5일 근무 기준 월급으로 환산하면 223만 6300원이다. 인건비 앞자리가 바뀌는 사이 자영업 현장에서는 사람 대신 기계를 들이는 무인화가 한층 빨라질 전망이다 최저임금위원회는 14일 정부세종청사에서 제14차 전원회의를 열고 내년도 최저임금을 올해(1만 320원)보다 ..."
"생존율 88% '프렙 아카데미'… 서울시, 외식업 예비창업자 11기 50명 모집",이데일리,2026-07-06,https://www.edaily.co.kr/news/newspath.asp?newsid=01636726645511896,12주 250시간 실전교육에 생성형 AI 활용 교육 신설 최대 7000만 원 창업자금 연계… 사후관리까지 지원 [이데일리 이영민 기자] 서울시가 외식업 예비창업자를 대상으로 한 실전 창업교육 프로그램 ‘프렙 아카데미’의 11기 교육생 모집에 나선다. 수료생의 창업 후 생존율이 88%에 달하는 등 성과를 인정받은 이 프로그램은 올해 생성형 AI 활용 교육과 ...
"""골목길이 더 힙해요"" 2030이 바꾼 이태원 임대료",파이낸셜뉴스,2026-07-05,http://www.fnnews.com/news/202607051834203248,[르포] 대로변 썰렁한데 이면도로 북적 이태원 상권 모습. (사진=최가영 기자) ALDO·풋라커 '백기'… 대로변 수년째 공실 최근 찾은 서울 용산구 녹사평역~이태원역 사이 대로변. 한때 이태원 상권의 중심으로 꼽혔던 이 구간 곳곳에는 장기 공실 건물이 눈에 띄었다. 대로변에 자리한 덕흥빌딩 1~2층은 커피스미스 경리단길점이 폐업한 2023년 이후 현재까지...
